movie_title,actor_1_name,actor_2_name,actor_3_name
Iron Man 2,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
Snow White and the Huntsman ,Chris Hemsworth,Kristen Stewart,Sam Claflin
Maleficent ,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
Dawn of the Planet of the Apes ,Gary Oldman,Judy Greer,Kodi Smit-McPhee
The Lovers ,Tamsin Egerton,Alice Englert,Bipasha Basu
47 Ronin,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
Captain America: The Winter Soldier ,Scarlett Johansson,Chris Evans,Hayley Atwell
Shrek Forever After ,Jon Hamm,Kathy Griffin,Mary Kay Place
Tomorrowland ,Judy Greer,Chris Bauer,Thomas Robinson
Big Hero 6,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
Wreck-It Ralph ,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
The Polar Express ,Tom Hanks,Eddie Deezen,Peter Scolari
Independence Day: Resurgence ,Vivica A. Fox,Sela Ward,Judd Hirsch
How to Train Your Dragon ,Gerard Butler,America Ferrera,Craig Ferguson
Terminator 3: Rise of the Machines,Nick Stahl,M.C. Gainey,Carolyn Hennesy
Guardians of the Galaxy ,Bradley Cooper,Vin Diesel,Djimon Hounsou
Interstellar ,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Inception ,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
Godzilla Resurgence ,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
The Hobbit: An Unexpected Journey ,Aidan Turner,Adam Brown,James Nesbitt
The Fast and the Furious ,Paul Walker,Vin Diesel,Jordana Brewster
The Curious Case of Benjamin Button ,Brad Pitt,Jason Flemyng,Julia Ormond
X-Men: First Class ,Jennifer Lawrence,Michael Fassbender,Oliver Platt
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
The Sorcerer's Apprentice ,Nicolas Cage,Omar Benson Miller,Robert Capron
Poseidon ,Jimmy Bennett,Mike Vogel,Andre Braugher
Alice Through the Looking Glass ,Johnny Depp,Alan Rickman,Anne Hathaway
Shrek the Third ,Justin Timberlake,Eric Idle,Rupert Everett
Warcraft ,Dominic Cooper,Callum Rennie,Ruth Negga
Terminator Genisys ,J.K. Simmons,Emilia Clarke,Matt Smith
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Bruce Spence,Shane Rangi,Laura Brent
Pearl Harbor ,Jennifer Garner,Jaime King,Mako
Transformers ,Zack Ward,Michael O'Neill,Kevin Dunn
Alexander ,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
Harry Potter and the Order of the Phoenix ,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
Harry Potter and the Goblet of Fire ,Robert Pattinson,Daniel Radcliffe,Rupert Grint
Hancock ,Will Smith,Charlize Theron,Eddie Marsan
I Am Legend ,Will Smith,Alice Braga,Willow Smith
Charlie and the Chocolate Factory ,Johnny Depp,Christopher Lee,David Kelly
Ratatouille ,Janeane Garofalo,John Ratzenberger,Brian Dennehy
Batman Begins ,Christian Bale,Liam Neeson,Morgan Freeman
Madagascar: Escape 2 Africa,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
Night at the Museum: Battle of the Smithsonian ,Robin Williams,Rami Malek,Steve Coogan
X-Men Origins: Wolverine ,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
The Matrix Revolutions ,Essie Davis,Collin Chou,Nona Gaye
Frozen ,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
The Matrix Reloaded ,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
Thor: The Dark World ,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Mad Max: Fury Road ,Tom Hardy,Charlize Theron,Zoë Kravitz
Angels & Demons ,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
Thor ,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Bolt ,Chloë Grace Moretz,Diedrich Bader,James Lipton
G-Force ,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Wrath of the Titans ,Liam Neeson,Edgar Ramírez,Lily James
Dark Shadows ,Johnny Depp,Chloë Grace Moretz,Christopher Lee
Mission: Impossible - Rogue Nation ,Tom Cruise,Jeremy Renner,Sean Harris
The Wolfman ,Anthony Hopkins,Simon Merrells,Art Malik
The Legend of Tarzan ,Christoph Waltz,Alexander Skarsgård,Casper Crump
Bee Movie ,Matthew Broderick,Oprah Winfrey,Rip Torn
Kung Fu Panda 2,Angelina Jolie Pitt,Gary Oldman,Mike Bell
The Last Airbender ,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
Mission: Impossible III ,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
White House Down ,Channing Tatum,Jake Weber,Matt Craven
Mars Needs Moms ,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
Flushed Away ,Hugh Jackman,Kate Winslet,David Suchet
Pan ,Hugh Jackman,Cara Delevingne,Nonso Anozie
Mr. Peabody & Sherman ,Ty Burrell,Zach Callison,Karan Brar
Troy ,Brad Pitt,Orlando Bloom,Julian Glover
Madagascar 3: Europe's Most Wanted,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
Die Another Day ,Toby Stephens,Colin Salmon,Rick Yune
Ghostbusters ,Ed Begley Jr.,Kate McKinnon,Zach Woods
Armageddon ,Bruce Willis,Steve Buscemi,Will Patton
Men in Black II ,Will Smith,Rosario Dawson,Rip Torn
Beowulf ,Robin Wright,Anthony Hopkins,Sebastian Roché
Kung Fu Panda 3,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
Mission: Impossible - Ghost Protocol ,Tom Cruise,Jeremy Renner,Michael Nyqvist
Rise of the Guardians ,Hugh Jackman,Kamil McFadden,Khamani Griffin
Fun with Dick and Jane ,John Michael Higgins,Richard Burgi,David Herman
The Last Samurai ,Tom Cruise,Tony Goldwyn,Chad Lindberg
Exodus: Gods and Kings ,Christian Bale,María Valverde,Ben Mendelsohn
Star Trek ,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
Spider-Man ,J.K. Simmons,James Franco,Kirsten Dunst
How to Train Your Dragon 2,Gerard Butler,Djimon Hounsou,America Ferrera
Gods of Egypt ,Gerard Butler,Elodie Yung,Bryan Brown
Stealth ,Sam Shepard,Joe Morton,Richard Roxburgh
Watchmen ,Matt Frewer,Billy Crudup,Stephen McHattie
Lethal Weapon 4,Jet Li,Rene Russo,Darlene Love
Hulk ,Kevin Rankin,Regi Davis,Celia Weston
G.I. Joe: Retaliation ,Channing Tatum,Dwayne Johnson,Elodie Yung
Sahara ,Matthew McConaughey,Rainn Wilson,Delroy Lindo
Final Fantasy: The Spirits Within ,Steve Buscemi,Ming-Na Wen,Jean Simmons
Captain America: The First Avenger ,Chris Evans,Dominic Cooper,Hayley Atwell
The World Is Not Enough ,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn
Master and Commander: The Far Side of the World ,James D'Arcy,Lee Ingleby,David Threlfall
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner
Happy Feet 2,Robin Williams,Brad Pitt,Common
The Incredible Hulk ,Ty Burrell,Peter Mensah,William Hurt
Miami Vice             ,Don Johnson,Philip Michael Thomas,John Diehl
The BFG ,Mark Rylance,Penelope Wilton,Rafe Spall
The Revenant ,Leonardo DiCaprio,Tom Hardy,Lukas Haas
Turbo ,Ryan Reynolds,Snoop Dogg,Ben Schwartz
Rango ,Johnny Depp,Ray Winstone,Stephen Root
Penguins of Madagascar ,Benedict Cumberbatch,Annet Mahendru,Andy Richter
The Bourne Ultimatum ,Matt Damon,Edgar Ramírez,Albert Finney
Kung Fu Panda ,Angelina Jolie Pitt,Wayne Knight,Dan Fogler
Ant-Man ,Judy Greer,Hayley Atwell,T.I.
The Hunger Games: Catching Fire ,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,Kristen Stewart,Taylor Lautner
Home ,Jim Parsons,Matt Jones,April Winchell
War of the Worlds ,Tom Cruise,Lisa Ann Walter,Rick Gonzalez
Bad Boys II ,Will Smith,Henry Rollins,Jordi Mollà
Puss in Boots ,Salma Hayek,Constance Marie,Amy Sedaris
Salt ,Angelina Jolie Pitt,Andre Braugher,August Diehl
Noah ,Anthony Hopkins,Emma Watson,Logan Lerman
The Adventures of Tintin ,Toby Jones,Mackenzie Crook,Tony Curran
Harry Potter and the Prisoner of Azkaban ,Daniel Radcliffe,Gary Oldman,Rupert Grint
Australia ,Essie Davis,Bryan Brown,Eddie Baroo
After Earth ,Will Smith,Zoë Kravitz,Glenn Morshower
Dinosaur ,Alfre Woodard,D.B. Sweeney,Della Reese
Harry Potter and the Deathly Hallows: Part II ,Rupert Grint,Dave Legeno,Ralph Ineson
Night at the Museum: Secret of the Tomb ,Robin Williams,Rami Malek,Steve Coogan
Megamind ,J.K. Simmons,Brad Pitt,Will Ferrell
Harry Potter and the Sorcerer's Stone ,Daniel Radcliffe,Fiona Shaw,Verne Troyer
R.I.P.D. ,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
Godzilla Resurgence ,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
Pirates of the Caribbean: The Curse of the Black Pearl ,Johnny Depp,Orlando Bloom,Jack Davenport
Harry Potter and the Deathly Hallows: Part I ,Rupert Grint,Toby Jones,Alfred Enoch
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
The Da Vinci Code ,Tom Hanks,Seth Gabel,Jürgen Prochnow
Rio 2,Miguel Ferrer,Rachel Crow,Jeffrey Garcia
X-Men 2,Hugh Jackman,Bruce Davison,Aaron Stanford
Fast Five ,Paul Walker,Vin Diesel,Dwayne Johnson
Sherlock Holmes: A Game of Shadows ,Robert Downey Jr.,Eddie Marsan,Paul Anderson
Clash of the Titans ,Liam Neeson,Jason Flemyng,Alexa Davalos
Total Recall ,Ronny Cox,Rachel Ticotin,Marshall Bell
The 13th Warrior,Tony Curran,Vladimir Kulich,Clive Russell
The Bourne Legacy ,Jeremy Renner,Scott Glenn,Stacy Keach
Batman & Robin ,Michael Gough,Vivica A. Fox,John Glover
How the Grinch Stole Christmas ,Clint Howard,T.J. Thyne,Molly Shannon
The Day After Tomorrow ,Jake Gyllenhaal,Dennis Quaid,Sela Ward
Mission: Impossible II ,Tom Cruise,Dougray Scott,Richard Roxburgh
The Perfect Storm ,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton
Fantastic 4: Rise of the Silver Surfer,Chris Evans,Ioan Gruffudd,Andre Braugher
Life of Pi ,Suraj Sharma,Rafe Spall,Tabu
Ghost Rider ,Nicolas Cage,Matt Long,Peter Fonda
Jason Bourne ,Matt Damon,Riz Ahmed,Ato Essandoh
Charlie's Angels: Full Throttle ,Demi Moore,Bernie Mac,Justin Theroux
Prometheus ,Michael Fassbender,Charlize Theron,Sean Harris
Stuart Little 2,Nathan Lane,Brad Garrett,Melanie Griffith
Elysium ,Matt Damon,Sharlto Copley,Alice Braga
The Chronicles of Riddick ,Vin Diesel,Alexa Davalos,Christina Cox
RoboCop ,Gary Oldman,Abbie Cornish,Jennifer Ehle
Speed Racer ,Scott Porter,Kick Gurry,Nicholas Elia
How Do You Know ,Shelley Conn,Domenick Lombardozzi,Teyonah Parris
Knight and Day ,Tom Cruise,Marc Blucas,Jordi Mollà
Oblivion ,Morgan Freeman,Tom Cruise,Zoë Bell
Star Wars: Episode III - Revenge of the Sith ,Natalie Portman,Christopher Lee,Hayden Christensen
Star Wars: Episode II - Attack of the Clones ,Natalie Portman,Christopher Lee,Hayden Christensen
"Monsters, Inc. ",Steve Buscemi,John Ratzenberger,James Coburn
The Wolverine ,Hugh Jackman,Tao Okamoto,Rila Fukushima
Star Wars: Episode I - The Phantom Menace ,Natalie Portman,Liam Neeson,Ian McDiarmid
The Croods ,Ryan Reynolds,Emma Stone,Nicolas Cage
Asterix at the Olympic Games ,Alain Delon,Santiago Segura,Vanessa Hessler
Windtalkers ,Nicolas Cage,Roger Willie,Noah Emmerich
The Huntsman: Winter's War ,Chris Hemsworth,Sam Claflin,Charlize Theron
Teenage Mutant Ninja Turtles ,Noel Fisher,Danny Woodburn,Jeremy Howard
Gravity ,Phaldut Sharma,Basher Savage,Amy Warren
Dante's Peak ,Jamie Renée Smith,Grant Heslov,Tzi Ma
Teenage Mutant Ninja Turtles: Out of the Shadows ,Stephen Amell,Noel Fisher,Brad Garrett
Fantastic Four ,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker
Night at the Museum ,Robin Williams,Rami Malek,Steve Coogan
San Andreas ,Dwayne Johnson,Ioan Gruffudd,Archie Panjabi
Tomorrow Never Dies ,Vincent Schiavelli,Colin Salmon,Joe Don Baker
The Patriot ,Heath Ledger,Adam Baldwin,Tom Wilkinson
Ocean's Twelve ,Brad Pitt,Julia Roberts,Mini Anden
Mr. & Mrs. Smith ,Brad Pitt,Angelina Jolie Pitt,Stephanie March
Insurgent ,Kate Winslet,Theo James,Mekhi Phifer
The Aviator ,Leonardo DiCaprio,Adam Scott,Frances Conroy
Gulliver's Travels ,James Corden,Catherine Tate,Olly Alexander
The Green Hornet ,Christoph Waltz,Tom Wilkinson,Chad L. Coleman
The A-Team             ,George Peppard,Dirk Benedict,Dwight Schultz
300: Rise of an Empire,Eva Green,Sullivan Stapleton,Peter Mensah
The Smurfs ,Mahadeo Shivraj,Tim Gunn,Madison McKinley
Home on the Range ,Steve Buscemi,Roseanne Barr,G.W. Bailey
Allegiant ,Naomi Watts,Theo James,Zoë Kravitz
Real Steel ,Hugh Jackman,Torey Michael Adkins,Olga Fonda
The Smurfs 2,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui
Speed 2: Cruise Control,Jason Patric,Temuera Morrison,Lois Chiles
Ender's Game ,Harrison Ford,Moises Arias,Aramis Knight
Live Free or Die Hard ,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli
The Lord of the Rings: The Fellowship of the Ring ,Christopher Lee,Orlando Bloom,Billy Boyd
Around the World in 80 Days,Jim Broadbent,Steve Coogan,Cécile De France
Ali ,Will Smith,Jada Pinkett Smith,Joe Morton
The Cat in the Hat ,Sean Hayes,Kelly Preston,Spencer Breslin
"I, Robot ",Will Smith,Bruce Greenwood,Chi McBride
Kingdom of Heaven ,Liam Neeson,Orlando Bloom,Philip Glenister
Stuart Little ,Chazz Palminteri,Nathan Lane,Jeffrey Jones
The Princess and the Frog ,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose
The Martian ,Matt Damon,Donald Glover,Benedict Wong
"10,000 B.C.",Mathew Buck,,
The Island ,Scarlett Johansson,Steve Buscemi,Djimon Hounsou
Town & Country ,Del Zamora,Warren Beatty,Garry Shandling
Gone in Sixty Seconds ,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall
Gladiator ,Djimon Hounsou,Connie Nielsen,Oliver Reed
Minority Report ,Tom Cruise,Frank Grillo,Jessica Capshaw
Harry Potter and the Chamber of Secrets ,Daniel Radcliffe,Rupert Grint,Emma Watson
Casino Royale ,Eva Green,Tobias Menzies,Ivana Milicevic
Planet of the Apes ,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari
Terminator 2: Judgment Day,Joe Morton,Jenette Goldstein,S. Epatha Merkerson
Public Enemies ,Johnny Depp,Christian Bale,Stephen Graham
American Gangster ,Denzel Washington,Ruby Dee,RZA
True Lies ,Jamie Lee Curtis,Tia Carrere,Tom Arnold
The Taking of Pelham 1 2 3,Denzel Washington,Ramon Rodriguez,Michael Rispoli
Little Fockers ,Robert De Niro,Blythe Danner,Teri Polo
The Other Guys ,Dwayne Johnson,Will Ferrell,Derek Jeter
Eraser ,Vanessa Williams,James Coburn,Roma Maffia
Django Unchained ,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh
The Hunchback of Notre Dame ,Demi Moore,Jason Alexander,Bill Fagerbakke
The Emperor's New Groove ,Eartha Kitt,Wendie Malick,John Fiedler
The Expendables 2,Jason Statham,Sylvester Stallone,Bruce Willis
National Treasure ,Nicolas Cage,Armando Riesco,Annie Parisse
Eragon ,Djimon Hounsou,Ed Speleers,Gary Lewis
Where the Wild Things Are ,Catherine O'Hara,Ryan Corr,Max Records
Pan ,Hugh Jackman,Cara Delevingne,Nonso Anozie
Epic ,Josh Hutcherson,Emma Kenney,Troy Evans
The Tourist ,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell
End of Days ,CCH Pounder,Mark Margolis,Udo Kier
Blood Diamond ,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins
The Wolf of Wall Street ,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau
Batman Forever ,Michael Gough,Rene Auberjonois,Debi Mazar
Starship Troopers ,Jake Busey,Patrick Muldoon,Seth Gilliam
Cloud Atlas ,Tom Hanks,Jim Sturgess,Jim Broadbent
Legend of the Guardians: The Owls of Ga'Hoole ,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia
Catwoman ,Frances Conroy,Christopher Heyerdahl,Alex Borstein
Hercules ,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal
Treasure Planet ,Joseph Gordon-Levitt,Martin Short,Michael Wincott
Land of the Lost ,Will Ferrell,Anna Friel,Bobb'e J. Thompson
The Expendables 3,Jason Statham,Sylvester Stallone,Harrison Ford
Point Break ,Ray Winstone,Edgar Ramírez,Delroy Lindo
Son of the Mask ,Jamie Kennedy,Traylor Howard,Ben Stein
In the Heart of the Sea ,Chris Hemsworth,Benjamin Walker,Frank Dillane
The Adventures of Pluto Nash ,Rosario Dawson,Randy Quaid,Burt Young
Green Zone ,Matt Damon,Sean Huze,Igal Naor
The Peanuts Movie ,Francesca Capaldi,Venus Schultheis,Bill Melendez
The Spanish Prisoner ,Ben Gazzara,Felicity Huffman,Campbell Scott
The Mummy Returns ,Dwayne Johnson,Brendan Fraser,Patricia Velasquez
Gangs of New York ,Leonardo DiCaprio,Liam Neeson,Jim Broadbent
The Flowers of War ,Christian Bale,Ni Ni,Shigeo Kobayashi
Surf's Up ,Jeff Bridges,Zooey Deschanel,Jon Heder
The Stepford Wives ,Jon Lovitz,Matthew Broderick,Roger Bart
Black Hawk Down ,Ioan Gruffudd,Sam Shepard,Ewen Bremner
The Campaign ,Will Ferrell,Thomas Middleditch,Katherine LaNasa
The Fifth Element ,Milla Jovovich,Bruce Willis,Gary Oldman
Sex and the City 2,Chris Noth,Liza Minnelli,Kristin Davis
The Road to El Dorado ,Frank Welker,Rosie Perez,Elton John
Ice Age: Continental Drift ,Peter Dinklage,Josh Gad,Drake
Cinderella ,Hayley Atwell,Derek Jacobi,Lily James
The Lovely Bones ,Michael Imperioli,AJ Michalka,Tom McCarthy
Finding Nemo ,Alexander Gould,Stephen Root,Brad Garrett
The Lord of the Rings: The Return of the King ,Orlando Bloom,Billy Boyd,Bernard Hill
The Lord of the Rings: The Two Towers ,Christopher Lee,Orlando Bloom,Billy Boyd
Seventh Son ,Jeff Bridges,Djimon Hounsou,Olivia Williams
Lara Croft: Tomb Raider ,Angelina Jolie Pitt,Noah Taylor,Chris Barrie
Transcendence ,Johnny Depp,Morgan Freeman,Clifton Collins Jr.
Jurassic Park III ,Michael Jeter,Trevor Morgan,Alessandro Nivola
Rise of the Planet of the Apes ,James Franco,David Oyelowo,Tyler Labine
The Spiderwick Chronicles ,Martin Short,Tod Fennell,Joan Plowright
A Good Day to Die Hard ,Bruce Willis,Cole Hauser,Megalyn Echikunwoke
The Alamo ,Dennis Quaid,Marc Blucas,Jordi Mollà
The Incredibles ,Holly Hunter,Craig T. Nelson,Lou Romano
Cutthroat Island ,Christopher Masterson,Frank Langella,Matthew Modine
Percy Jackson & the Olympians: The Lightning Thief ,Logan Lerman,Rosario Dawson,Steve Coogan
Men in Black ,Will Smith,Rip Torn,Linda Fiorentino
Toy Story 2,Tom Hanks,John Ratzenberger,Wayne Knight
Unstoppable ,Denzel Washington,Rosario Dawson,Ethan Suplee
Rush Hour 2,Mei Melançon,John Lone,Harris Yulin
What Lies Beneath ,Harrison Ford,Amber Valletta,Miranda Otto
Cloudy with a Chance of Meatballs ,Will Forte,Bobb'e J. Thompson,Al Roker
Ice Age: Dawn of the Dinosaurs ,Denis Leary,Maile Flanagan,Kelly Keaton
The Secret Life of Walter Mitty ,Adam Scott,Adrian Martinez,Joey Slotnick
Charlie's Angels ,Bill Murray,LL Cool J,Kelly Lynch
The Departed ,Leonardo DiCaprio,Matt Damon,Ray Winstone
Mulan ,Ming-Na Wen,Harvey Fierstein,June Foray
Tropic Thunder ,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson
The Girl with the Dragon Tattoo ,Robin Wright,Goran Visnjic,Joely Richardson
Die Hard with a Vengeance ,Bruce Willis,Aldis Hodge,Kevin Chamberlin
Sherlock Holmes ,Robert Downey Jr.,Eddie Marsan,Robert Maillet
Ben-Hur ,Morgan Freeman,Ayelet Zurer,Moises Arias
Atlantis: The Lost Empire ,Leonard Nimoy,Jim Varney,Cree Summer
Alvin and the Chipmunks: The Road Chip ,Bella Thorne,Joshua Mikel,Jesse McCartney
Valkyrie ,Tom Cruise,Tom Wilkinson,Thomas Kretschmann
You Don't Mess with the Zohan ,Adam Sandler,Sayed Badreya,Kevin Nealon
Pixels ,Peter Dinklage,Adam Sandler,Josh Gad
A.I. Artificial Intelligence ,Haley Joel Osment,William Hurt,Kevin Sussman
The Haunted Mansion ,Marsha Thomason,Rachael Harris,Marc John Jefferies
Contact ,Matthew McConaughey,Tom Skerritt,Larry King
Hollow Man ,Greg Grunberg,Kim Dickens,Joey Slotnick
The Interpreter ,Curtiss Cook,George Harris,Michael Wright
